0	0	0	0	0	0
0	0	0	0	0	500
0	0	0	0	0	0
0	0	0	0	0	1000
0	0	0	0	0	0
0	0	0	0	0	1500
0	0	0	0	0	0
0	0	0	0	0	1000
0.05	0	0	0	0	1000
0	0	0	0	0	1000
-0.05	0	0	0	0	1000
0	0	0	0	0	1000
0.05	0	0	0	0	1000
0	0	0	0	0	1000
-0.05	0	0	0	0	1000
0	0	0	0	0	1000
0	0.05	0	0	0	1000
0	0	0	0	0	1000
0	-0.05	0	0	0	1000
0	0	0	0	0	1000
0	0.05	0	0	0	1000
0	0	0	0	0	1000
0	-0.05	0	0	0	1000
0	0	0	0	0	1000
0	0	0.003	0	0	1000
0	0	0	0	0	1000
0	0	-0.003	0	0	1000
0	0	0	0	0	1000
0	0	0.003	0	0	1000
0	0	0	0	0	1000
0	0	-0.003	0	0	1000
0	0	0	0	0	1000
0	0	0	0.003	0	1000
0	0	0	0	0	1000
0	0	0	-0.003	0	1000
0	0	0	0	0	1000
0	0	0	0.003	0	1000
0	0	0	0	0	1000
0	0	0	-0.003	0	1000
0	0	0	0	0	1000
0	0	0	0	0.003	1000
0	0	0	0	0	1000
0	0	0	0	-0.003	1000
0	0	0	0	0	1000
0	0	0	0	0.003	1000
0	0	0	0	0	1000
0	0	0	0	-0.003	1000
0	0	0	0	0	1000
