-26	250.7733333	960.96	-26	37.22666667	960.96
-24	242.56	887.04	-24	45.44	887.04
-22	234.3466667	813.12	-22	53.65333333	813.12
-20	226.1333333	739.2	-20	61.86666667	739.2
-18	217.92	665.28	-18	70.08	665.28
-16	209.7066667	591.36	-16	78.29333333	591.36
-14	201.4933333	517.44	-14	86.50666667	517.44
-12	193.28	443.52	-12	94.72	443.52
-10	185.0666667	369.6	-10	102.9333333	369.6
-8	176.8533333	295.68	-8	111.1466667	295.68
-6	168.64	221.76	-6	119.36	221.76
-4	160.4266667	147.84	-4	127.5733333	147.84
-2	152.2133333	73.92	-2	135.7866667	73.92
0	144	0	0	144	0
0	110	0	0	110	0
0	80	0	0	80	0
0	50	0	0	50	0
0	30	0	0	30	0
