0	0.0000E+00	0	0.0000E+00
0.01	-1.7453E-04	0.01	-1.7453E-04
0.02	-3.4907E-04	0.02	-3.4907E-04
0.03	-5.2360E-04	0.03	-5.2360E-04
0.04	-6.9813E-04	0.04	-6.9813E-04
0.05	-8.7267E-04	0.05	-8.7267E-04
0.06	-1.0472E-03	0.06	-1.0472E-03
0.07	-1.2217E-03	0.07	-1.2217E-03
0.08	-1.3963E-03	0.08	-1.3963E-03
0.09	-1.5708E-03	0.09	-1.5708E-03
0.1	-1.7453E-03	0.1	-1.7453E-03
0.11	-1.9199E-03	0.11	-1.9199E-03
0.12	-2.0944E-03	0.12	-2.0944E-03
0.13	-2.2689E-03	0.13	-2.2689E-03
0.14	-2.4435E-03	0.14	-2.4435E-03
0.15	-2.6180E-03	0.15	-2.6180E-03
0.16	-2.7925E-03	0.16	-2.7925E-03
0.17	-2.9671E-03	0.17	-2.9671E-03
0.18	-3.1416E-03	0.18	-3.1416E-03
0.19	-3.3161E-03	0.19	-3.3161E-03
0.2	-3.4907E-03	0.2	-3.4907E-03
0.19	-3.3161E-03	0.19	-3.3161E-03
0.18	-3.1416E-03	0.18	-3.1416E-03
0.17	-2.9671E-03	0.17	-2.9671E-03
0.16	-2.7925E-03	0.16	-2.7925E-03
0.15	-2.6180E-03	0.15	-2.6180E-03
0.14	-2.4435E-03	0.14	-2.4435E-03
0.13	-2.2689E-03	0.13	-2.2689E-03
0.12	-2.0944E-03	0.12	-2.0944E-03
0.11	-1.9199E-03	0.11	-1.9199E-03
0.1	-1.7453E-03	0.1	-1.7453E-03
0.09	-1.5708E-03	0.09	-1.5708E-03
0.08	-1.3963E-03	0.08	-1.3963E-03
0.07	-1.2217E-03	0.07	-1.2217E-03
0.06	-1.0472E-03	0.06	-1.0472E-03
0.05	-8.7267E-04	0.05	-8.7267E-04
0.04	-6.9813E-04	0.04	-6.9813E-04
0.03	-5.2360E-04	0.03	-5.2360E-04
0.02	-3.4907E-04	0.02	-3.4907E-04
0.01	-1.7453E-04	0.01	-1.7453E-04
0	0.0000E+00	0	0.0000E+00
-0.01	1.7453E-04	-0.01	1.7453E-04
-0.02	3.4907E-04	-0.02	3.4907E-04
-0.03	5.2360E-04	-0.03	5.2360E-04
-0.04	6.9813E-04	-0.04	6.9813E-04
-0.05	8.7267E-04	-0.05	8.7267E-04
-0.06	1.0472E-03	-0.06	1.0472E-03
-0.07	1.2217E-03	-0.07	1.2217E-03
-0.08	1.3963E-03	-0.08	1.3963E-03
-0.09	1.5708E-03	-0.09	1.5708E-03
-0.1	1.7453E-03	-0.1	1.7453E-03
-0.11	1.9199E-03	-0.11	1.9199E-03
-0.12	2.0944E-03	-0.12	2.0944E-03
-0.13	2.2689E-03	-0.13	2.2689E-03
-0.14	2.4435E-03	-0.14	2.4435E-03
-0.15	2.6180E-03	-0.15	2.6180E-03
-0.16	2.7925E-03	-0.16	2.7925E-03
-0.17	2.9671E-03	-0.17	2.9671E-03
-0.18	3.1416E-03	-0.18	3.1416E-03
-0.19	3.3161E-03	-0.19	3.3161E-03
-0.2	3.4907E-03	-0.2	3.4907E-03
-0.19	3.3161E-03	-0.19	3.3161E-03
-0.18	3.1416E-03	-0.18	3.1416E-03
-0.17	2.9671E-03	-0.17	2.9671E-03
-0.16	2.7925E-03	-0.16	2.7925E-03
-0.15	2.6180E-03	-0.15	2.6180E-03
-0.14	2.4435E-03	-0.14	2.4435E-03
-0.13	2.2689E-03	-0.13	2.2689E-03
-0.12	2.0944E-03	-0.12	2.0944E-03
-0.11	1.9199E-03	-0.11	1.9199E-03
-0.1	1.7453E-03	-0.1	1.7453E-03
-0.09	1.5708E-03	-0.09	1.5708E-03
-0.08	1.3963E-03	-0.08	1.3963E-03
-0.07	1.2217E-03	-0.07	1.2217E-03
-0.06	1.0472E-03	-0.06	1.0472E-03
-0.05	8.7267E-04	-0.05	8.7267E-04
-0.04	6.9813E-04	-0.04	6.9813E-04
-0.03	5.2360E-04	-0.03	5.2360E-04
-0.02	3.4907E-04	-0.02	3.4907E-04
-0.01	1.7453E-04	-0.01	1.7453E-04
0	0.0000E+00	0	0.0000E+00
