0	30	30	0	30	30
0	30	30	0	30	30
0	30	30	0	30	30
0	30	30	0	30	30
0	30	30	0	30	30
0	30	30	0	30	30
0	30	30	0	30	30
0	30	30	0	30	30
0	30	30	0	30	30
0	30	30	0	30	30
1	30	30	1	30	30
2	30	30	2	30	30
3	30	30	3	30	30
4	30	30	4	30	30
5	30	30	5	30	30
4	30	30	4	30	30
3	30	30	3	30	30
2	30	30	2	30	30
1	30	30	1	30	30
0	30	30	0	30	30
-1	30	30	-1	30	30
-2	30	30	-2	30	30
-3	30	30	-3	30	30
-4	30	30	-4	30	30
-5	30	30	-5	30	30
-4	30	30	-4	30	30
-3	30	30	-3	30	30
-2	30	30	-2	30	30
-1	30	30	-1	30	30
0	30	30	0	30	30
1	30	30	1	30	30
2	30	30	2	30	30
3	30	30	3	30	30
4	30	30	4	30	30
5	30	30	5	30	30
4	30	30	4	30	30
3	30	30	3	30	30
2	30	30	2	30	30
1	30	30	1	30	30
0	30	30	0	30	30
-1	30	30	-1	30	30
-2	30	30	-2	30	30
-3	30	30	-3	30	30
-4	30	30	-4	30	30
-5	30	30	-5	30	30
-4	30	30	-4	30	30
-3	30	30	-3	30	30
-2	30	30	-2	30	30
-1	30	30	-1	30	30
0	30	30	0	30	30
1	30	30	1	30	30
2	30	30	2	30	30
3	30	30	3	30	30
4	30	30	4	30	30
5	30	30	5	30	30
4	30	30	4	30	30
3	30	30	3	30	30
2	30	30	2	30	30
1	30	30	1	30	30
0	30	30	0	30	30
-1	30	30	-1	30	30
-2	30	30	-2	30	30
-3	30	30	-3	30	30
-4	30	30	-4	30	30
-5	30	30	-5	30	30
-4	30	30	-4	30	30
-3	30	30	-3	30	30
-2	30	30	-2	30	30
-1	30	30	-1	30	30
0	30	30	0	30	30
2	30	30	2	30	30
4	30	30	4	30	30
6	30	30	6	30	30
8	30	30	8	30	30
10	30	30	10	30	30
8	30	30	8	30	30
6	30	30	6	30	30
4	30	30	4	30	30
2	30	30	2	30	30
0	30	30	0	30	30
-2	30	30	-2	30	30
-4	30	30	-4	30	30
-6	30	30	-6	30	30
-8	30	30	-8	30	30
-10	30	30	-10	30	30
-8	30	30	-8	30	30
-6	30	30	-6	30	30
-4	30	30	-4	30	30
-2	30	30	-2	30	30
0	30	30	0	30	30
2	30	30	2	30	30
4	30	30	4	30	30
6	30	30	6	30	30
8	30	30	8	30	30
10	30	30	10	30	30
8	30	30	8	30	30
6	30	30	6	30	30
4	30	30	4	30	30
2	30	30	2	30	30
0	30	30	0	30	30
-2	30	30	-2	30	30
-4	30	30	-4	30	30
-6	30	30	-6	30	30
-8	30	30	-8	30	30
-10	30	30	-10	30	30
-8	30	30	-8	30	30
-6	30	30	-6	30	30
-4	30	30	-4	30	30
-2	30	30	-2	30	30
0	30	30	0	30	30
2	30	30	2	30	30
4	30	30	4	30	30
6	30	30	6	30	30
8	30	30	8	30	30
10	30	30	10	30	30
8	30	30	8	30	30
6	30	30	6	30	30
4	30	30	4	30	30
2	30	30	2	30	30
0	30	30	0	30	30
-2	30	30	-2	30	30
-4	30	30	-4	30	30
-6	30	30	-6	30	30
-8	30	30	-8	30	30
-10	30	30	-10	30	30
-8	30	30	-8	30	30
-6	30	30	-6	30	30
-4	30	30	-4	30	30
-2	30	30	-2	30	30
0	30	30	0	30	30
