0	144	0	0	144	0
0	144	0	0	144	0
2	135.7866667	-73.92	2	152.2133333	-73.92
4	127.5733333	-147.84	4	160.4266667	-147.84
6	119.36	-221.76	6	168.64	-221.76
8	111.1466667	-295.68	8	176.8533333	-295.68
10	102.9333333	-369.6	10	185.0666667	-369.6
12	94.72	-443.52	12	193.28	-443.52
14	86.50666667	-517.44	14	201.4933333	-517.44
16	78.29333333	-591.36	16	209.7066667	-591.36
18	70.08	-665.28	18	217.92	-665.28
20	61.86666667	-739.2	20	226.1333333	-739.2
22	53.65333333	-813.12	22	234.3466667	-813.12
24	45.44	-887.04	24	242.56	-887.04
26	37.22666667	-960.96	26	250.7733333	-960.96
28	29.01333333	-1034.88	28	258.9866667	-1034.88
30	20.8	-1108.8	30	267.2	-1108.8
32	12.58666667	-1182.72	32	275.4133333	-1182.72
34	4.373333333	-1256.64	34	283.6266667	-1256.64
36	-3.84	-1330.56	36	291.84	-1330.56
38	-12.05333333	-1404.48	38	300.0533333	-1404.48
40	-20.26666667	-1478.4	40	308.2666667	-1478.4
38	-12.05333333	-1404.48	38	300.0533333	-1404.48
36	-3.84	-1330.56	36	291.84	-1330.56
34	4.373333333	-1256.64	34	283.6266667	-1256.64
32	12.58666667	-1182.72	32	275.4133333	-1182.72
30	20.8	-1108.8	30	267.2	-1108.8
28	29.01333333	-1034.88	28	258.9866667	-1034.88
26	37.22666667	-960.96	26	250.7733333	-960.96
24	45.44	-887.04	24	242.56	-887.04
22	53.65333333	-813.12	22	234.3466667	-813.12
20	61.86666667	-739.2	20	226.1333333	-739.2
18	70.08	-665.28	18	217.92	-665.28
16	78.29333333	-591.36	16	209.7066667	-591.36
14	86.50666667	-517.44	14	201.4933333	-517.44
12	94.72	-443.52	12	193.28	-443.52
10	102.9333333	-369.6	10	185.0666667	-369.6
8	111.1466667	-295.68	8	176.8533333	-295.68
6	119.36	-221.76	6	168.64	-221.76
4	127.5733333	-147.84	4	160.4266667	-147.84
2	135.7866667	-73.92	2	152.2133333	-73.92
0	144	0	0	144	0
-2	152.2133333	73.92	-2	135.7866667	73.92
-4	160.4266667	147.84	-4	127.5733333	147.84
-6	168.64	221.76	-6	119.36	221.76
-8	176.8533333	295.68	-8	111.1466667	295.68
-10	185.0666667	369.6	-10	102.9333333	369.6
-12	193.28	443.52	-12	94.72	443.52
-14	201.4933333	517.44	-14	86.50666667	517.44
-16	209.7066667	591.36	-16	78.29333333	591.36
-18	217.92	665.28	-18	70.08	665.28
-20	226.1333333	739.2	-20	61.86666667	739.2
-22	234.3466667	813.12	-22	53.65333333	813.12
-24	242.56	887.04	-24	45.44	887.04
-26	250.7733333	960.96	-26	37.22666667	960.96
-28	258.9866667	1034.88	-28	29.01333333	1034.88
-30	267.2	1108.8	-30	20.8	1108.8
-32	275.4133333	1182.72	-32	12.58666667	1182.72
-34	283.6266667	1256.64	-34	4.373333333	1256.64
-36	291.84	1330.56	-36	-3.84	1330.56
-38	300.0533333	1404.48	-38	-12.05333333	1404.48
-40	308.2666667	1478.4	-40	-20.26666667	1478.4
-38	300.0533333	1404.48	-38	-12.05333333	1404.48
-36	291.84	1330.56	-36	-3.84	1330.56
-34	283.6266667	1256.64	-34	4.373333333	1256.64
-32	275.4133333	1182.72	-32	12.58666667	1182.72
-30	267.2	1108.8	-30	20.8	1108.8
-28	258.9866667	1034.88	-28	29.01333333	1034.88
-26	250.7733333	960.96	-26	37.22666667	960.96
-24	242.56	887.04	-24	45.44	887.04
-22	234.3466667	813.12	-22	53.65333333	813.12
-20	226.1333333	739.2	-20	61.86666667	739.2
-18	217.92	665.28	-18	70.08	665.28
-16	209.7066667	591.36	-16	78.29333333	591.36
-14	201.4933333	517.44	-14	86.50666667	517.44
-12	193.28	443.52	-12	94.72	443.52
-10	185.0666667	369.6	-10	102.9333333	369.6
-8	176.8533333	295.68	-8	111.1466667	295.68
-6	168.64	221.76	-6	119.36	221.76
-4	160.4266667	147.84	-4	127.5733333	147.84
-2	152.2133333	73.92	-2	135.7866667	73.92
0	144	0	0	144	0
