0.00E+00	0.00E+00	0.00E+00	0.00E+00
2.50E-01	-1.34E-02	2.50E-01	-1.34E-02
5.00E-01	-2.68E-02	5.00E-01	-2.68E-02
7.50E-01	-4.02E-02	7.50E-01	-4.02E-02
5.00E-01	-2.68E-02	5.00E-01	-2.68E-02
2.50E-01	-1.34E-02	2.50E-01	-1.34E-02
0.00E+00	0.00E+00	0.00E+00	0.00E+00
-2.50E-01	1.34E-02	-2.50E-01	1.34E-02
-5.00E-01	2.68E-02	-5.00E-01	2.68E-02
-7.50E-01	4.02E-02	-7.50E-01	4.02E-02
-5.00E-01	2.68E-02	-5.00E-01	2.68E-02
-2.50E-01	1.34E-02	-2.50E-01	1.34E-02
0.00E+00	0.00E+00	0.00E+00	0.00E+00
