-1.99E-02	3.86E-04	1.25E+02
4.80E-02	-8.87E-04	1.25E+02
4.81E-02	-8.88E-04	1.25E+02
1.33E-02	-2.45E-04	1.25E+02
-2.89E-02	5.54E-04	1.25E+02
-6.12E-02	1.14E-03	1.25E+02
-4.64E-02	8.66E-04	1.25E+02
6.52E-02	-1.17E-03	1.25E+02
7.71E-02	-1.28E-03	1.25E+02
3.57E-02	-5.15E-04	1.25E+02
-5.73E-03	1.70E-04	1.25E+02
-1.33E-03	8.98E-05	1.25E+02
6.14E-02	-9.82E-04	1.25E+02
6.18E-02	-9.88E-04	1.25E+02
-5.49E-02	9.68E-04	1.25E+02
-1.63E-01	2.48E-03	1.25E+02
-1.70E-01	2.52E-03	1.25E+02
-1.01E-01	1.26E-03	1.25E+02
6.05E-02	-8.69E-04	1.25E+02
6.34E-02	-8.89E-04	1.25E+02
4.06E-02	-4.92E-04	1.25E+02
4.05E-02	-4.90E-04	1.25E+02
7.73E-02	-1.12E-03	1.25E+02
1.52E-01	-2.19E-03	1.25E+02
2.01E-01	-2.81E-03	1.25E+02
1.71E-01	-2.23E-03	1.25E+02
-1.53E-01	2.25E-03	1.25E+02
-3.76E-01	5.39E-03	1.25E+02
-4.79E-01	6.66E-03	1.25E+02
-4.79E-01	6.66E-03	1.25E+02
-2.84E-01	3.50E-03	1.25E+02
2.09E-01	-2.93E-03	1.25E+02
4.87E-01	-6.75E-03	1.25E+02
4.92E-01	-6.77E-03	1.25E+02
2.93E-01	-3.60E-03	1.25E+02
-9.07E-02	1.36E-03	1.25E+02
-2.45E-01	3.26E-03	1.25E+02
-2.45E-01	3.26E-03	1.25E+02
-9.14E-02	1.07E-03	1.25E+02
1.15E-01	-1.60E-03	1.25E+02
1.89E-01	-2.53E-03	1.25E+02
1.85E-01	-2.46E-03	1.25E+02
1.17E-01	-1.46E-03	1.25E+02
-6.29E-03	1.68E-04	1.25E+02
-8.98E-02	1.23E-03	1.25E+02
-9.90E-02	1.33E-03	1.25E+02
-6.94E-02	8.59E-04	1.25E+02
4.86E-02	-6.78E-04	1.25E+02
9.07E-02	-1.20E-03	1.25E+02
8.80E-02	-1.14E-03	1.25E+02
3.46E-02	-3.93E-04	1.25E+02
-1.44E-02	2.25E-04	1.25E+02
-1.44E-02	2.24E-04	1.25E+02
-1.11E-02	1.65E-04	1.25E+02
-1.29E-02	1.97E-04	1.25E+02
-1.23E-02	1.85E-04	1.25E+02
3.23E-02	-4.25E-04	1.25E+02
4.82E-02	-6.17E-04	1.25E+02
4.71E-02	-5.97E-04	1.25E+02
4.67E-02	-5.90E-04	1.25E+02
4.77E-02	-6.08E-04	1.25E+02
